s,t,tavolsag,dinic,BK,szintezo,modositott_dinic
71.0,168.0,3.0,0.062,0.041,0.038,0.032
74.0,248.0,4.0,0.19092,0.03,0.053,0.07401
321.0,53.0,4.0,0.14101,0.04501,0.09501,0.049
212.0,100.0,4.0,0.14301,0.08801,0.038,0.06101
248.0,79.0,3.0,0.093,0.075,0.046,0.037
255.0,61.0,4.0,0.16101,0.05001,0.07601,0.056
99.0,265.0,4.0,0.14602,0.099,0.04201,0.039
136.0,228.0,3.0,0.20602,0.038,0.073,0.068
124.0,156.0,3.0,0.15301,0.034,0.069,0.049
89.0,221.0,3.0,0.23504,0.039,0.038,0.07601
