,csucsszam,dinic,dinic_bi,dinic_level_mem,dinic_opt
0,100.0,0.02315,0.0133,0.0131,0.00787
1,166.0,0.03385,0.0139,0.01437,0.01051
2,278.0,0.0706,0.0271,0.02531,0.02388
3,464.0,0.11551,0.03895,0.0372,0.02987
4,774.0,0.18317,0.08704,0.06919,0.05288
5,1291.0,0.28473,0.10552,0.10441,0.08694
6,2154.0,0.60565,0.21054,0.2054,0.15576
7,3593.0,0.9774,0.32948,0.34015,0.26391
8,5994.0,1.5639,0.51813,0.53191,0.42767
9,10000.0,2.70724,0.8741,0.94434,0.70848
