s,t,tavolsag,dinic,BK,szintezo,modositott_dinic
10.0,5.0,2.0,0.85305,0.25501,0.35991,0.2261
10.0,11.0,2.0,0.5802,0.36499,0.24347,0.24307
23.0,41.0,3.0,0.95066,0.28035,0.41638,0.33411
25.0,9.0,2.0,0.34393,0.25516,0.25276,0.15467
17.0,23.0,3.0,0.63072,0.41762,0.33013,0.20111
5.0,0.0,2.0,0.51359,0.40709,0.26471,0.23729
3.0,29.0,2.0,0.6153,0.46027,0.19431,0.25443
8.0,19.0,3.0,0.4263,0.46198,0.3105,0.19159
34.0,11.0,2.0,0.40054,0.20531,0.25453,0.21492
74.0,5.0,3.0,0.41162,0.20214,0.29241,0.23406
